id,name,description,synthesis_type,key_feature,genre_tags,weirdness_level
478,Hadron Modulator,Granular processing inspired by hadron textures,noise,modulation matrix,Drone;Abstract;Generative,8
479,Double Slit Synth,Double Slit patterns drive oscillator and modulation parameters,physical_modeling,chaos modulation,Generative;Drone;Experimental,9
480,Interference Synth,Feedback network simulating interference dynamics,sample_based,bit crushing,Experimental;Drone;Electronic,3
481,Standing Wave Synth,Standing Wave-inspired synthesis with unique timbral characteristics,fm,harmonic mapping,Psychoacoustic;Mathematical;Generative,5
482,Node Synth,Node-inspired synthesis with unique timbral characteristics,wavetable,comb filtering,Experimental;Abstract;Mathematical,3
483,Beat Frequency Generator,FM synthesis capturing beat frequency harmonic relationships,additive,envelope shaping,Mathematical;Psychoacoustic;Electronic,7
484,Phase Coherence Synth,Models phase coherence behavior using advanced DSP techniques,granular,granular freeze,Psychoacoustic;Generative;Abstract,8
485,Diffraction Synth,Diffraction-inspired synthesis with unique timbral characteristics,subtractive,harmonic excitation,Abstract;Ambient;Electronic,6
486,Resonance Synth,FM synthesis capturing resonance harmonic relationships,feedback,feedback routing,Electronic;Ambient;Drone,5
487,Harmonic Synth,Additive synthesis recreating harmonic spectra,hybrid,harmonic excitation,Psychoacoustic;Experimental;Abstract,7
488,Overtone Synth,Additive synthesis recreating overtone spectra,noise,phase distortion,Mathematical;Experimental;Ambient,3
489,Formant Synth,Feedback network simulating formant dynamics,physical_modeling,ring modulation,Mathematical;Generative;Electronic,6
490,Coupled Oscillator,Granular processing inspired by coupled textures,sample_based,convolution,Experimental;Electronic;Drone,9
491,Superposition Engine,Superposition-inspired synthesis with unique timbral characteristics,fm,spectral freeze,Mathematical;Abstract;Drone,4
492,Entanglement Sequencer,Models entanglement behavior using advanced DSP techniques,wavetable,granular freeze,Drone;Electronic;Ambient,6
493,Heisenberg Processor,FM synthesis capturing heisenberg harmonic relationships,additive,pitch shifting,Experimental;Abstract;Psychoacoustic,5
494,Schrödinger Synth,Granular processing inspired by schrödinger textures,granular,stochastic triggering,Psychoacoustic;Generative;Abstract,2
495,Quantum Synth,Feedback network simulating quantum dynamics,subtractive,convolution,Abstract;Mathematical;Psychoacoustic,5
496,Planck Synth,Wavetable morphing based on planck waveforms,feedback,allpass diffusion,Drone;Mathematical;Electronic,8
497,Wave Function Filter,Additive synthesis recreating wave function spectra,hybrid,harmonic excitation,Ambient;Generative;Psychoacoustic,6
498,Photon Synth,Physical modeling of photon acoustic properties,noise,bit crushing,Abstract;Drone;Ambient,6
499,Antiparticle Resonator,Feedback network simulating antiparticle dynamics,physical_modeling,spectral blur,Psychoacoustic;Experimental;Mathematical,5
500,Qubit Synth,Hybrid synthesis combining multiple qubit characteristics,sample_based,envelope shaping,Mathematical;Drone;Ambient,5
501,Gamelan Filter,FM synthesis capturing gamelan harmonic relationships,fm,modulation matrix,Meditative;Percussive;Experimental,6
502,Sitar Synth,Granular processing inspired by sitar textures,additive,phase distortion,Experimental;Traditional;Percussive,6
503,Tabla Generator,Hybrid synthesis combining multiple tabla characteristics,physical_modeling,chaos modulation,Percussive;Meditative;World,8
504,Didgeridoo Synth,Additive synthesis recreating didgeridoo spectra,granular,pitch shifting,Experimental;Expressive;Ambient,8
505,Kalimba Sequencer,FM synthesis capturing kalimba harmonic relationships,wavetable,oscillator coupling,World;Ethnic;Ambient,8
506,Mbira Engine,FM synthesis capturing mbira harmonic relationships,sample_based,formant filtering,Expressive;World;Meditative,9
507,Koto Synth,FM synthesis capturing koto harmonic relationships,hybrid,ring modulation,Ethnic;World;Ambient,9
508,Shamisen Engine,Feedback network simulating shamisen dynamics,subtractive,allpass diffusion,Meditative;World;Expressive,8
509,Erhu Synth,Hybrid synthesis combining multiple erhu characteristics,feedback,physical resonance,Ethnic;Expressive;Meditative,2
510,Pipa Synth,Feedback network simulating pipa dynamics,noise,harmonic series,Experimental;World;Ethnic,5
511,Oud Synth,Oud-inspired synthesis with unique timbral characteristics,fm,physical resonance,Percussive;Ethnic;Expressive,3
512,Santoor Modulator,Wavetable morphing based on santoor waveforms,additive,pitch shifting,Experimental;Meditative;World,7
513,Balalaika Resonator,Hybrid synthesis combining multiple balalaika characteristics,physical_modeling,formant filtering,Ethnic;Experimental;World,3
514,Bouzouki Filter,Physical modeling of bouzouki acoustic properties,granular,chaos modulation,Traditional;Experimental;Expressive,9
515,Hurdy Gurdy Synth,Models hurdy gurdy behavior using advanced DSP techniques,wavetable,spectral blur,Traditional;Meditative;World,9
516,Bagpipe Synth,Bagpipe patterns drive oscillator and modulation parameters,sample_based,feedback routing,Traditional;Ambient;Percussive,8
517,Accordion Synth,Granular processing inspired by accordion textures,hybrid,wavefolding,Traditional;Ambient;World,2
518,Harmonium Synth,FM synthesis capturing harmonium harmonic relationships,subtractive,feedback routing,World;Ambient;Meditative,5
519,Throat Singing Processor,Throat Singing-inspired synthesis with unique timbral characteristics,feedback,harmonic series,World;Expressive;Experimental,7
520,Overtone Oscillator,Feedback network simulating overtone dynamics,noise,sample rate reduction,Percussive;Traditional;Ethnic,6
521,Bell Synth,Granular processing inspired by bell textures,fm,filter topology,Ethnic;Meditative;Expressive,3
522,Gong Generator,Wavetable morphing based on gong waveforms,additive,phase distortion,Expressive;Meditative;Percussive,9
523,Singing Bowl Engine,Hybrid synthesis combining multiple singing bowl characteristics,physical_modeling,pitch shifting,Percussive;Ambient;Traditional,5
524,Wind Chimes Synth,Physical modeling of wind chimes acoustic properties,granular,harmonic series,Experimental;Meditative;World,2
525,Music Box Synth,Feedback network simulating music box dynamics,wavetable,stochastic triggering,World;Ambient;Expressive,9
526,Carillon Synth,Models carillon behavior using advanced DSP techniques,sample_based,spectral freeze,Experimental;Ambient;Meditative,7
527,Glass Harmonica Synth,Models glass harmonica behavior using advanced DSP techniques,hybrid,wavefolding,Experimental;Ethnic;Expressive,6
528,Waterphone Synth,Granular processing inspired by waterphone textures,subtractive,fractal generation,Meditative;Ethnic;Expressive,5
529,Hang Drum Filter,Hybrid synthesis combining multiple hang drum characteristics,feedback,granular freeze,Traditional;Expressive;Ethnic,3
530,Jaw Harp Sequencer,Feedback network simulating jaw harp dynamics,noise,wavefolding,Percussive;Traditional;Meditative,8
531,Bullroarer Resonator,Granular processing inspired by bullroarer textures,fm,harmonic series,Ethnic;Traditional;Expressive,5
532,Daegeum Synth,FM synthesis capturing daegeum harmonic relationships,additive,time stretching,World;Experimental;Percussive,3
533,Hulusi Synth,FM synthesis capturing hulusi harmonic relationships,physical_modeling,pitch shifting,Expressive;Percussive;Meditative,5
534,Bowed Psaltery Synth,Granular processing inspired by bowed psaltery textures,granular,sample rate reduction,World;Experimental;Ethnic,8
535,Steelpan Synth,Additive synthesis recreating steelpan spectra,wavetable,pitch shifting,Experimental;World;Traditional,6
536,Tar Oscillator,Physical modeling of tar acoustic properties,sample_based,phase distortion,Ambient;World;Experimental,8
537,Qin Synth,Granular processing inspired by qin textures,hybrid,envelope shaping,Ambient;Traditional;World,9
538,Saz Resonator,FM synthesis capturing saz harmonic relationships,subtractive,granular density,Traditional;Expressive;Meditative,8
539,Ney Synth,Physical modeling of ney acoustic properties,feedback,harmonic mapping,Expressive;Percussive;World,5
540,Nai Processor,Additive synthesis recreating nai spectra,noise,harmonic series,Traditional;Ethnic;Expressive,9
541,Berimbau Generator,Granular processing inspired by berimbau textures,fm,allpass diffusion,Traditional;Expressive;Ambient,6
542,Riq Generator,Feedback network simulating riq dynamics,additive,envelope shaping,Expressive;Ethnic;Percussive,9
543,Doumbek Synth,Additive synthesis recreating doumbek spectra,physical_modeling,fractal generation,Experimental;Expressive;Traditional,8
544,Ud Synth,Hybrid synthesis combining multiple ud characteristics,granular,harmonic series,World;Expressive;Traditional,7
545,Kemençe Synth,Wavetable morphing based on kemençe waveforms,wavetable,chaos modulation,Ambient;Meditative;Percussive,8
546,Suling Filter,Physical modeling of suling acoustic properties,sample_based,spectral freeze,Ethnic;Traditional;Expressive,7
547,Bamboo Oscillator,FM synthesis capturing bamboo harmonic relationships,hybrid,chaos modulation,Ambient;Ethnic;Traditional,4
548,Rebab Generator,Physical modeling of rebab acoustic properties,subtractive,physical resonance,Experimental;World;Expressive,6
549,Cimbalom Synth,FM synthesis capturing cimbalom harmonic relationships,feedback,frequency shifting,Ambient;Percussive;Expressive,5
550,Zither Synth,Feedback network simulating zither dynamics,noise,filter topology,World;Expressive;Meditative,4
551,Dulcimer Generator,Dulcimer-inspired synthesis with unique timbral characteristics,fm,spectral morphing,Experimental;Expressive;Meditative,3
552,Autoharp Processor,Autoharp-inspired synthesis with unique timbral characteristics,additive,formant filtering,Ambient;Percussive;Ethnic,2
553,Lyre Engine,Physical modeling of lyre acoustic properties,physical_modeling,oscillator coupling,Experimental;Ethnic;Traditional,7
554,Harp Sequencer,Granular processing inspired by harp textures,granular,oscillator coupling,Traditional;Ethnic;Percussive,5
555,Kantele Synth,Models kantele behavior using advanced DSP techniques,wavetable,spectral morphing,Experimental;Percussive;World,6
556,Bandura Synth,Feedback network simulating bandura dynamics,sample_based,granular density,World;Expressive;Percussive,3
557,Gusli Synth,Physical modeling of gusli acoustic properties,hybrid,wavetable scanning,Percussive;Experimental;Meditative,4
558,Kokle Synth,Granular processing inspired by kokle textures,subtractive,phase distortion,Traditional;Percussive;Ethnic,2
559,Jouhikko Synth,Additive synthesis recreating jouhikko spectra,feedback,stochastic triggering,World;Traditional;Meditative,3
560,Talharpa Synth,Models talharpa behavior using advanced DSP techniques,noise,feedback routing,Percussive;Experimental;Traditional,7
561,Langspil Synth,Granular processing inspired by langspil textures,fm,phase distortion,Meditative;Ambient;Traditional,6
562,Hardingfele Synth,Feedback network simulating hardingfele dynamics,additive,pattern sequencing,Ethnic;Experimental;World,8
563,Nyckelharpa Synth,Feedback network simulating nyckelharpa dynamics,physical_modeling,sample rate reduction,Experimental;Ambient;Ethnic,7
564,Säckpipa Synth,Physical modeling of säckpipa acoustic properties,granular,recursive feedback,Meditative;Expressive;Traditional,2
565,Seljefløyte Processor,Wavetable morphing based on seljefløyte waveforms,wavetable,feedback routing,Percussive;Meditative;Ethnic,5
566,Bukkehorn Filter,Bukkehorn patterns drive oscillator and modulation parameters,sample_based,granular density,Traditional;Ethnic;Percussive,5
567,Lur Synth,Lur-inspired synthesis with unique timbral characteristics,hybrid,ring modulation,Traditional;Ambient;Expressive,6
568,Birch Trumpet Resonator,Physical modeling of birch trumpet acoustic properties,subtractive,spectral morphing,Expressive;Ethnic;Ambient,7
569,Willow Flute Synth,Willow Flute-inspired synthesis with unique timbral characteristics,feedback,granular density,Meditative;Experimental;World,2
570,Jew's Harp Synth,Models jew's harp behavior using advanced DSP techniques,noise,fractal generation,Meditative;Ambient;World,8
571,Langspil Oscillator,Additive synthesis recreating langspil spectra,fm,ring modulation,Ethnic;Experimental;Expressive,6
572,Fidla Synth,Feedback network simulating fidla dynamics,additive,fractal generation,Experimental;Meditative;Percussive,9
573,Þjóðhátíð Synth,Feedback network simulating þjóðhátíð dynamics,physical_modeling,harmonic mapping,Ethnic;Experimental;Percussive,6
574,Bumbulum Generator,Feedback network simulating bumbulum dynamics,granular,stochastic triggering,Ambient;Meditative;Ethnic,8
575,Cuíca Processor,Hybrid synthesis combining multiple cuíca characteristics,wavetable,filter topology,World;Percussive;Traditional,7
576,Pandeiro Synth,Hybrid synthesis combining multiple pandeiro characteristics,sample_based,sample rate reduction,World;Ethnic;Expressive,2
577,Surdo Processor,FM synthesis capturing surdo harmonic relationships,hybrid,spectral freeze,World;Traditional;Experimental,4
578,Repique Synth,Physical modeling of repique acoustic properties,subtractive,harmonic excitation,World;Ethnic;Ambient,2
579,Tamborim Resonator,Tamborim-inspired synthesis with unique timbral characteristics,feedback,spectral morphing,Experimental;Ethnic;Percussive,9
580,Agogô Generator,Agogô patterns drive oscillator and modulation parameters,noise,harmonic mapping,Experimental;Ambient;World,8
581,Ganzá Engine,Physical modeling of ganzá acoustic properties,fm,spectral blur,Expressive;Percussive;Ambient,5
582,Reco-Reco Synth,Feedback network simulating reco-reco dynamics,additive,physical resonance,Traditional;Ethnic;Percussive,5
583,Chocalho Synth,Granular processing inspired by chocalho textures,physical_modeling,spectral morphing,World;Ambient;Meditative,6
584,Xequerê Engine,Xequerê-inspired synthesis with unique timbral characteristics,granular,granular density,Experimental;Expressive;Ambient,5
585,Caxixi Generator,FM synthesis capturing caxixi harmonic relationships,wavetable,sample rate reduction,Expressive;Percussive;Traditional,4
586,Afoxé Synth,Afoxé-inspired synthesis with unique timbral characteristics,sample_based,filter topology,Traditional;World;Experimental,8
587,Atabaque Processor,Physical modeling of atabaque acoustic properties,hybrid,filter topology,Expressive;Experimental;Traditional,2
588,Alfaia Engine,Models alfaia behavior using advanced DSP techniques,subtractive,pitch shifting,Percussive;World;Experimental,7
589,Zabumba Engine,Wavetable morphing based on zabumba waveforms,feedback,modulation matrix,Expressive;World;Experimental,3
590,Triângulo Synth,Additive synthesis recreating triângulo spectra,noise,recursive feedback,Expressive;Percussive;Meditative,2
591,Maracatu Synth,Hybrid synthesis combining multiple maracatu characteristics,fm,filter topology,Experimental;Percussive;Expressive,7
592,Berimbau Synth,Feedback network simulating berimbau dynamics,additive,sample rate reduction,Ethnic;Expressive;Ambient,8
593,Conga Synth,Feedback network simulating conga dynamics,physical_modeling,ring modulation,World;Ethnic;Traditional,8
594,Bongo Synth,Wavetable morphing based on bongo waveforms,granular,wavetable scanning,Traditional;World;Percussive,5
595,Timbales Oscillator,Physical modeling of timbales acoustic properties,wavetable,physical resonance,Ethnic;Traditional;World,3
596,Güiro Modulator,Güiro-inspired synthesis with unique timbral characteristics,sample_based,chaos modulation,Traditional;Ethnic;World,7
597,Maracas Oscillator,Physical modeling of maracas acoustic properties,hybrid,frequency shifting,Meditative;World;Percussive,3
598,Claves Synth,Hybrid synthesis combining multiple claves characteristics,subtractive,harmonic excitation,Meditative;Ambient;World,3
599,Gamelan Synth,Granular processing inspired by gamelan textures,feedback,convolution,Ethnic;Ambient;Expressive,6
600,Sitar Processor,Physical modeling of sitar acoustic properties,noise,bit crushing,Ambient;Experimental;Meditative,2
601,Pulsar Synth,Granular processing inspired by pulsar textures,fm,pitch shifting,Ambient;Ethereal;Generative,8
602,Magnetar Synth,Granular processing inspired by magnetar textures,wavetable,granular freeze,Sci-Fi;Dark;Generative,4
603,Neutron Modulator,FM synthesis capturing neutron harmonic relationships,additive,wavefolding,Cinematic;Sci-Fi;Experimental,6
604,Quasar Resonator,FM synthesis capturing quasar harmonic relationships,granular,sample rate reduction,Ambient;Cinematic;Ethereal,5
605,Black Hole Synth,Models black hole behavior using advanced DSP techniques,subtractive,bit crushing,Cinematic;Ambient;Drone,5
606,Event Horizon Synth,Granular processing inspired by event horizon textures,noise,formant filtering,Experimental;Sci-Fi;Ambient,7
607,Accretion Synth,Granular processing inspired by accretion textures,feedback,fractal generation,Dark;Drone;Sci-Fi,3
608,Relativistic Modulator,Relativistic-inspired synthesis with unique timbral characteristics,hybrid,time stretching,Drone;Generative;Cinematic,8
609,Hawking Processor,FM synthesis capturing hawking harmonic relationships,sample_based,sample rate reduction,Ambient;Dark;Generative,3
610,Supernova Synth,Wavetable morphing based on supernova waveforms,physical_modeling,ring modulation,Experimental;Drone;Ambient,4
611,Stellar Synth,Wavetable morphing based on stellar waveforms,fm,convolution,Drone;Dark;Cinematic,8
612,Cosmic Synth,FM synthesis capturing cosmic harmonic relationships,wavetable,harmonic excitation,Sci-Fi;Cinematic;Dark,7
613,Solar Wind Synth,Feedback network simulating solar wind dynamics,additive,harmonic excitation,Ambient;Generative;Cinematic,4
614,Nebula Engine,Feedback network simulating nebula dynamics,granular,time stretching,Ethereal;Generative;Ambient,6
615,Dust Cloud Synth,Additive synthesis recreating dust cloud spectra,subtractive,recursive feedback,Sci-Fi;Dark;Experimental,3
616,Emission Synth,Additive synthesis recreating emission spectra,noise,sample rate reduction,Drone;Sci-Fi;Ambient,2
617,Reflection Oscillator,FM synthesis capturing reflection harmonic relationships,feedback,spectral freeze,Ethereal;Ambient;Drone,7
618,Planetary Resonator,Granular processing inspired by planetary textures,hybrid,wavefolding,Ambient;Drone;Cinematic,6
619,Pillars Synth,Physical modeling of pillars acoustic properties,sample_based,comb filtering,Cinematic;Dark;Experimental,6
620,Dark Nebula Generator,Feedback network simulating dark nebula dynamics,physical_modeling,frequency shifting,Drone;Ambient;Cinematic,4
621,Solar Flare Processor,Hybrid synthesis combining multiple solar flare characteristics,fm,harmonic series,Sci-Fi;Cinematic;Ethereal,4
622,Coronal Modulator,Hybrid synthesis combining multiple coronal characteristics,wavetable,modulation matrix,Ambient;Dark;Ethereal,4
623,Prominence Synth,Wavetable morphing based on prominence waveforms,additive,wavetable scanning,Cinematic;Dark;Generative,5
624,Heliosphere Synth,Heliosphere patterns drive oscillator and modulation parameters,granular,spectral blur,Dark;Ambient;Cinematic,5
625,Photosphere Sequencer,Feedback network simulating photosphere dynamics,subtractive,frequency shifting,Dark;Ethereal;Ambient,8
626,Magnetosphere Modulator,Additive synthesis recreating magnetosphere spectra,noise,feedback routing,Drone;Sci-Fi;Ambient,3
627,Ionosphere Processor,Models ionosphere behavior using advanced DSP techniques,feedback,convolution,Drone;Ambient;Ethereal,2
628,Radiation Belt Synth,Models radiation belt behavior using advanced DSP techniques,hybrid,spectral freeze,Experimental;Cinematic;Sci-Fi,9
629,Solar Cycle Filter,Solar Cycle patterns drive oscillator and modulation parameters,sample_based,phase distortion,Cinematic;Ambient;Drone,8
630,Aurora Synth,Granular processing inspired by aurora textures,physical_modeling,envelope shaping,Dark;Sci-Fi;Ambient,2
631,Green Glow Generator,Models green glow behavior using advanced DSP techniques,fm,allpass diffusion,Ethereal;Experimental;Sci-Fi,8
632,Van Allen Synth,Physical modeling of van allen acoustic properties,wavetable,modulation matrix,Generative;Ambient;Experimental,4
633,Proton Event Oscillator,Proton Event patterns drive oscillator and modulation parameters,additive,granular density,Experimental;Generative;Ethereal,7
634,Ray Shower Synth,Physical modeling of ray shower acoustic properties,granular,physical resonance,Dark;Cinematic;Experimental,2
635,Cherenkov Sequencer,Wavetable morphing based on cherenkov waveforms,subtractive,granular density,Drone;Dark;Cinematic,7
636,Bremsstrahlung Synth,Wavetable morphing based on bremsstrahlung waveforms,noise,modulation matrix,Sci-Fi;Ambient;Dark,2
637,Cascade Engine,Hybrid synthesis combining multiple cascade characteristics,feedback,formant filtering,Dark;Ambient;Experimental,3
638,Muon Decay Synth,Physical modeling of muon decay acoustic properties,hybrid,recursive feedback,Ethereal;Experimental;Cinematic,6
639,Saturn Rings Modulator,Wavetable morphing based on saturn rings waveforms,sample_based,spectral blur,Ethereal;Drone;Cinematic,9
640,Cassini Synth,Physical modeling of cassini acoustic properties,physical_modeling,bit crushing,Generative;Ambient;Sci-Fi,3
641,Shepherd Synth,Wavetable morphing based on shepherd waveforms,fm,sample rate reduction,Drone;Ethereal;Ambient,2
642,Ice Particle Resonator,Granular processing inspired by ice particle textures,wavetable,spectral blur,Generative;Dark;Cinematic,8
643,Dust Ring Engine,Models dust ring behavior using advanced DSP techniques,additive,allpass diffusion,Drone;Dark;Ambient,8
644,Ring Resonance Synth,Additive synthesis recreating ring resonance spectra,granular,spectral morphing,Ambient;Dark;Generative,2
645,Orbital Synth,Feedback network simulating orbital dynamics,subtractive,harmonic excitation,Generative;Experimental;Cinematic,2
646,Asteroid Synth,Physical modeling of asteroid acoustic properties,noise,sample rate reduction,Cinematic;Sci-Fi;Generative,4
647,Meteor Synth,Feedback network simulating meteor dynamics,feedback,bit crushing,Experimental;Sci-Fi;Generative,8
648,Meteorite Oscillator,Feedback network simulating meteorite dynamics,hybrid,stochastic triggering,Dark;Experimental;Generative,2
649,Ablation Resonator,Ablation patterns drive oscillator and modulation parameters,sample_based,allpass diffusion,Sci-Fi;Experimental;Drone,4
650,Atmospheric Synth,Models atmospheric behavior using advanced DSP techniques,physical_modeling,frequency shifting,Drone;Experimental;Generative,8
651,Comet Synth,Feedback network simulating comet dynamics,fm,pitch shifting,Sci-Fi;Ethereal;Cinematic,7
652,Nucleus Oscillator,Wavetable morphing based on nucleus waveforms,wavetable,feedback routing,Ambient;Generative;Dark,5
653,Tail Sequencer,Tail patterns drive oscillator and modulation parameters,additive,chaos modulation,Ambient;Drone;Generative,8
654,Sublimation Synth,Hybrid synthesis combining multiple sublimation characteristics,granular,fractal generation,Dark;Drone;Generative,8
655,Coma Engine,Models coma behavior using advanced DSP techniques,subtractive,time stretching,Dark;Cinematic;Generative,9
656,Radio Pulsar Processor,Radio Pulsar-inspired synthesis with unique timbral characteristics,noise,sample rate reduction,Experimental;Ethereal;Generative,8
657,Radio Quiet Synth,Radio Quiet patterns drive oscillator and modulation parameters,feedback,spectral morphing,Sci-Fi;Drone;Experimental,9
658,Pulsar Wind Oscillator,Granular processing inspired by pulsar wind textures,hybrid,spectral freeze,Ambient;Sci-Fi;Cinematic,5
659,Fast Radio Synth,Fast Radio-inspired synthesis with unique timbral characteristics,sample_based,wavetable scanning,Ethereal;Sci-Fi;Drone,7
660,Repeating FRB Synth,Wavetable morphing based on repeating frb waveforms,physical_modeling,spectral freeze,Generative;Ethereal;Experimental,3
661,Dispersion Synth,Wavetable morphing based on dispersion waveforms,fm,fractal generation,Ambient;Ethereal;Dark,2
662,Pulse Profile Synth,Granular processing inspired by pulse profile textures,wavetable,harmonic series,Ambient;Dark;Sci-Fi,7
663,Radio Morphology Synth,Physical modeling of radio morphology acoustic properties,additive,convolution,Sci-Fi;Cinematic;Generative,2
664,Synchrotron Synth,Physical modeling of synchrotron acoustic properties,granular,convolution,Ambient;Cinematic;Generative,6
665,Betatron Synth,Hybrid synthesis combining multiple betatron characteristics,subtractive,granular freeze,Ambient;Cinematic;Dark,5
666,Cyclotron Generator,Models cyclotron behavior using advanced DSP techniques,noise,convolution,Drone;Experimental;Generative,2
667,Plasma Engine,Plasma-inspired synthesis with unique timbral characteristics,feedback,bit crushing,Drone;Ambient;Sci-Fi,2
668,Birkeland Synth,Models birkeland behavior using advanced DSP techniques,hybrid,wavetable scanning,Dark;Sci-Fi;Ethereal,8
669,Alfven Processor,Wavetable morphing based on alfven waveforms,sample_based,oscillator coupling,Generative;Ethereal;Ambient,4
670,Radio Telescope Synth,Hybrid synthesis combining multiple radio telescope characteristics,physical_modeling,feedback routing,Drone;Sci-Fi;Cinematic,3
671,Antenna Synth,Hybrid synthesis combining multiple antenna characteristics,fm,spectral morphing,Generative;Drone;Experimental,7
672,Signal Synth,FM synthesis capturing signal harmonic relationships,wavetable,spectral blur,Sci-Fi;Generative;Drone,7
673,Noise Floor Modulator,FM synthesis capturing noise floor harmonic relationships,additive,spectral freeze,Cinematic;Experimental;Dark,5
674,Interference Synth,Hybrid synthesis combining multiple interference characteristics,granular,ring modulation,Experimental;Ambient;Generative,9
675,Microwave Background Synth,Microwave Background-inspired synthesis with unique timbral characteristics,subtractive,modulation matrix,Dark;Sci-Fi;Ambient,9
676,Temperature Synth,Additive synthesis recreating temperature spectra,noise,oscillator coupling,Dark;Generative;Drone,4
677,Acoustic Peaks Engine,Physical modeling of acoustic peaks acoustic properties,feedback,wavefolding,Ethereal;Drone;Sci-Fi,2
678,Gravitational Wave Filter,Additive synthesis recreating gravitational wave spectra,hybrid,bit crushing,Drone;Experimental;Ethereal,7
679,Merger Oscillator,FM synthesis capturing merger harmonic relationships,sample_based,wavetable scanning,Drone;Ethereal;Cinematic,6
680,LIGO Synth,FM synthesis capturing ligo harmonic relationships,physical_modeling,spectral blur,Generative;Ambient;Sci-Fi,2
681,Ringdown Sequencer,Wavetable morphing based on ringdown waveforms,fm,time stretching,Ethereal;Sci-Fi;Experimental,9
682,Binary Synth,Hybrid synthesis combining multiple binary characteristics,wavetable,harmonic mapping,Ethereal;Sci-Fi;Generative,5
683,Dark Matter Synth,Models dark matter behavior using advanced DSP techniques,additive,allpass diffusion,Drone;Experimental;Ethereal,5
684,Halo Synth,Wavetable morphing based on halo waveforms,granular,spectral freeze,Drone;Generative;Ethereal,3
685,WIMP Resonator,WIMP patterns drive oscillator and modulation parameters,subtractive,ring modulation,Generative;Cinematic;Drone,2
686,Axion Synth,Additive synthesis recreating axion spectra,noise,wavetable scanning,Ethereal;Ambient;Drone,8
687,Spaghettification Oscillator,Models spaghettification behavior using advanced DSP techniques,feedback,convolution,Experimental;Generative;Sci-Fi,6
688,Photon Sphere Modulator,Additive synthesis recreating photon sphere spectra,hybrid,convolution,Cinematic;Generative;Experimental,2
689,Naked Singularity Synth,Naked Singularity patterns drive oscillator and modulation parameters,sample_based,modulation matrix,Sci-Fi;Ambient;Cinematic,9
690,White Hole Engine,FM synthesis capturing white hole harmonic relationships,physical_modeling,spectral freeze,Drone;Ethereal;Experimental,3
691,Wormhole Oscillator,Wormhole patterns drive oscillator and modulation parameters,fm,comb filtering,Generative;Dark;Drone,4
692,Kerr Synth,Kerr patterns drive oscillator and modulation parameters,wavetable,spectral blur,Sci-Fi;Ethereal;Experimental,6
693,Reissner Synth,Additive synthesis recreating reissner spectra,additive,filter topology,Ethereal;Sci-Fi;Generative,8
694,Tensor Synth,Wavetable morphing based on tensor waveforms,granular,spectral blur,Drone;Ambient;Sci-Fi,3
695,Metric Filter,FM synthesis capturing metric harmonic relationships,subtractive,phase distortion,Sci-Fi;Generative;Experimental,6
696,Christoffel Synth,Granular processing inspired by christoffel textures,noise,time stretching,Drone;Cinematic;Ethereal,3
697,Ricci Processor,Ricci-inspired synthesis with unique timbral characteristics,feedback,pitch shifting,Ambient;Dark;Cinematic,6
698,Einstein Resonator,Hybrid synthesis combining multiple einstein characteristics,hybrid,harmonic mapping,Sci-Fi;Ethereal;Experimental,7
699,Pulsar Oscillator,Physical modeling of pulsar acoustic properties,sample_based,wavefolding,Dark;Cinematic;Sci-Fi,3
700,Magnetar Filter,FM synthesis capturing magnetar harmonic relationships,physical_modeling,spectral blur,Cinematic;Generative;Dark,5
701,Helix Generator,FM synthesis capturing helix harmonic relationships,fm,wavefolding,Organic;Experimental;Psychoacoustic,4
702,Ribosome Synth,Hybrid synthesis combining multiple ribosome characteristics,feedback,wavetable scanning,Psychoacoustic;Generative;Meditative,7
703,Mitochondria Sequencer,FM synthesis capturing mitochondria harmonic relationships,granular,convolution,Dark;Ambient;Organic,9
704,Synapse Processor,Feedback network simulating synapse dynamics,wavetable,frequency shifting,Generative;Ambient;Dark,4
705,Heartbeat Synth,Additive synthesis recreating heartbeat spectra,additive,harmonic series,Ambient;Generative;Dark,8
706,Breathing Synth,Feedback network simulating breathing dynamics,subtractive,phase distortion,Dark;Meditative;Generative,3
707,Digestion Sequencer,Models digestion behavior using advanced DSP techniques,hybrid,fractal generation,Psychoacoustic;Organic;Dark,5
708,Blood Resonator,Blood-inspired synthesis with unique timbral characteristics,noise,time stretching,Electronic;Dark;Organic,9
709,Muscle Synth,Models muscle behavior using advanced DSP techniques,sample_based,bit crushing,Ambient;Electronic;Generative,9
710,Bone Synth,Physical modeling of bone acoustic properties,physical_modeling,pitch shifting,Psychoacoustic;Generative;Electronic,4
711,Skin Synth,Models skin behavior using advanced DSP techniques,fm,wavetable scanning,Meditative;Ambient;Generative,2
712,Hair Resonator,Hybrid synthesis combining multiple hair characteristics,feedback,recursive feedback,Generative;Electronic;Ambient,3
713,Root Oscillator,Root patterns drive oscillator and modulation parameters,granular,time stretching,Psychoacoustic;Ambient;Experimental,9
714,Photon Engine,FM synthesis capturing photon harmonic relationships,wavetable,bit crushing,Dark;Generative;Organic,3
715,Mycelium Synth,Wavetable morphing based on mycelium waveforms,additive,harmonic series,Electronic;Generative;Organic,9
716,Spore Synth,Models spore behavior using advanced DSP techniques,subtractive,feedback routing,Generative;Psychoacoustic;Experimental,6
